GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",60078,9258
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",88000,16636
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",54531,7743
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",102601,28651
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",51414,8272
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",97955,18601
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",100996,6762
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",93839,16227
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",56064,6048
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",91099,10718
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",52546,11353
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",85500,18020
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",59105,8311
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",87188,13158
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",93750,17847
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",90893,14895
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",76893,17157
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",86761,7883
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",66625,17633
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",75069,23660
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",,
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",85755,10783
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",19764,8851
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",58798,12421
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",25500,8578
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",37355,10514
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",50739,8966
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",47672,16463
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",57500,12278
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",89141,19920
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",33816,9196
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",79773,12845
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",42353,11078
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",38243,5329
