"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600115","WILLIAMSBURG CHARTER HIGH SCHOOL","New York","BROOKLYN","Charter agency","956","","55","","",""
"2016","3600116","BROOKLYN EXCELSIOR CHARTER SCHOOL","New York","BROOKLYN","Charter agency","636","","27","","",""
"2016","3600118","PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL","New York","FAR ROCKAWAY","Charter agency","320","","28","","",""
"2016","3600119","NEW YORK CITY GEOGRAPHIC DISTRICT #14","New York","BROOKLYN","Local school district that is a component of a supervisory union","18699","4641","2066","","",""
"2016","3600120","NEW YORK CITY GEOGRAPHIC DISTRICT #19","New York","BROOKLYN","Local school district that is a component of a supervisory union","23240","6890","3007","","",""
"2016","3600121","NEW YORK CITY GEOGRAPHIC DISTRICT #23","New York","BROOKLYN","Local school district that is a component of a supervisory union","9777","3417","527","","",""
"2016","3600122","NEW YORK CITY GEOGRAPHIC DISTRICT #25","New York","FLUSHING","Local school district that is a component of a supervisory union","37312","6150","7368","","",""
"2016","3600123","NEW YORK CITY GEOGRAPHIC DISTRICT #27","New York","OZONE PARK","Local school district that is a component of a supervisory union","45544","10783","4979","","",""
"2016","3600124","CANISTEO-GREENWOOD CSD","New York","CANISTEO","Regular local school district","992","159","3","5761","924","0.160389"
"2016","3600125","EASTPORT-SOUTH MANOR CSD","New York","MANORVILLE","Regular local school district","3474","625","52","18918","3642","0.192515"
"2016","3600126","NEW YORK STATE DEPARTMENT OF CORRECTIONS","New York","ALBANY","State-operated agency","1124","410","","","",""
"2016","3600127","NEW YORK STATE OFFICE MENTAL HEALTH (OMH)","New York","ALBANY","State-operated agency","281","169","","","",""
"2016","3600128","KIPP TECH VALLEY CHARTER SCHOOL","New York","ALBANY","Charter agency","415","","","","",""
"2016","3600131","NEW YORK STATE OFFICE OF CHILDREN AND FAMILY SERVICES (OCFS)","New York","RENSSELAER","State-operated agency","311","145","","","",""
"2016","3600132","ORACLE CHARTER SCHOOL","New York","BUFFALO","Charter agency","357","","24","","",""
"2016","3600133","NEW YORK STATE SCHOOL FOR THE BLIND","New York","BATAVIA","State-operated agency","54","55","","","",""
"2016","3600134","URBAN CHOICE CHARTER SCHOOL","New York","ROCHESTER","Charter agency","397","","18","","",""
"2016","3600135","NYC SPECIAL SCHOOLS - DISTRICT 75","New York","NEW YORK","Local school district that is a component of a supervisory union","0","","","","",""
"2016","3600136","GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK","New York","NEW YORK","Charter agency","631","","18","","",""
"2016","3600137","MANHATTAN CHARTER SCHOOL","New York","NEW YORK","Charter agency","271","","26","","",""
"2016","3600138","HARLEM LINK CHARTER SCHOOL","New York","NEW YORK","Charter agency","387","","28","","",""
"2016","3600139","FUTURE LEADERS INSTITUTE CHARTER SCHOOL","New York","NEW YORK","Charter agency","377","","25","","",""
"2016","3600140","HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL","New York","NEW YORK","Charter agency","994","","32","","",""
"2016","3600141","HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL","New York","NEW YORK","Charter agency","955","","24","","",""
"2016","3600142","NEW YORK CENTER FOR AUTISM CHARTER SCHOOL","New York","NEW YORK","Charter agency","32","","3","","",""
"2016","3600143","KIPP INFINITY CHARTER SCHOOL","New York","NEW YORK","Charter agency","1128","","121","","",""
"2016","3600144","SOUTH BRONX CHARTER SCHOOL","New York","BRONX","Charter agency","422","","150","","",""
"2016","3600145","WILLIAMSBURG COLLEGIATE CHARTER SCHOOL","New York","BROOKLYN","Charter agency","329","","17","","",""
"2016","3600146","HELLENIC CLASSICAL CHARTER SCHOOL","New York","BROOKLYN","Charter agency","478","","20","","",""
"2016","3600147","ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1025","","3","","",""
