"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2014","3610650","ELMSFORD UNION FREE SCHOOL DISTRICT","New York","ELMSFORD","Regular local school district","1015"
"2014","3610680","ELWOOD UNION FREE SCHOOL DISTRICT","New York","GREENLAWN","Regular local school district","2354"
"2014","3610710","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT","New York","ENDICOTT","Regular local school district","3946"
"2014","3610860","FABIUS-POMPEY CENTRAL SCHOOL DISTRICT","New York","FABIUS","Regular local school district","695"
"2014","3610890","FAIRPORT CENTRAL SCHOOL DISTRICT","New York","FAIRPORT","Regular local school district","6170"
"2014","3610920","FALCONER CENTRAL SCHOOL DISTRICT","New York","FALCONER","Regular local school district","1229"
"2014","3610950","FALLSBURG CENTRAL SCHOOL DISTRICT","New York","FALLSBURG","Regular local school district","1430"
"2014","3610980","FARMINGDALE UNION FREE SCHOOL DISTRICT","New York","FARMINGDALE","Regular local school district","5918"
"2014","3611070","FILLMORE CENTRAL SCHOOL DISTRICT","New York","FILLMORE","Regular local school district","683"
"2014","3611100","FISHERS ISLAND UNION FREE SCHOOL DISTRICT","New York","FISHERS ISLAND","Regular local school district","69"
"2014","3611160","FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT","New York","FLORAL PARK","Regular local school district","1484"
"2014","3611190","FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT","New York","FONDA","Regular local school district","1408"
"2014","3611250","FORESTVILLE CENTRAL SCHOOL DISTRICT","New York","FORESTVILLE","Regular local school district","503"
"2014","3611280","FORT ANN CENTRAL SCHOOL DISTRICT","New York","FORT ANN","Regular local school district","484"
"2014","3611310","FORT EDWARD UNION FREE SCHOOL DISTRICT","New York","FORT EDWARD","Regular local school district","571"
"2014","3611370","FORT PLAIN CENTRAL SCHOOL DISTRICT","New York","FORT PLAIN","Regular local school district","810"
"2014","3611400","FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT","New York","FRANKFORT","Regular local school district","1004"
"2014","3611430","FRANKLIN CENTRAL SCHOOL DISTRICT","New York","FRANKLIN","Regular local school district","275"
"2014","3611460","FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT","New York","FRANKLIN SQUARE","Regular local school district","2047"
"2014","3611490","FRANKLINVILLE CENTRAL SCHOOL DISTRICT","New York","FRANKLINVILLE","Regular local school district","736"
"2014","3611520","FREDONIA CENTRAL SCHOOL DISTRICT","New York","FREDONIA","Regular local school district","1573"
"2014","3611550","FREEPORT UNION FREE SCHOOL DISTRICT","New York","FREEPORT","Regular local school district","6867"
"2014","3611610","FREWSBURG CENTRAL SCHOOL DISTRICT","New York","FREWSBURG","Regular local school district","865"
"2014","3611640","FRIENDSHIP CENTRAL SCHOOL DISTRICT","New York","FRIENDSHIP","Regular local school district","392"
"2014","3611670","FRONTIER CENTRAL SCHOOL DISTRICT","New York","HAMBURG","Regular local school district","5006"
"2014","3611700","FULTON CITY SCHOOL DISTRICT","New York","FULTON","Regular local school district","3558"
"2014","3611730","GALWAY CENTRAL SCHOOL DISTRICT","New York","GALWAY","Regular local school district","884"
"2014","3611740","GANANDA CENTRAL SCHOOL DISTRICT","New York","WALWORTH","Regular local school district","1035"
"2014","3611760","GARDEN CITY UNION FREE SCHOOL DISTRICT","New York","GARDEN CITY","Regular local school district","3907"
"2014","3611860","GARRISON UNION FREE SCHOOL DISTRICT","New York","GARRISON","Regular local school district","226"
"2014","3611880","GATES-CHILI CENTRAL SCHOOL DISTRICT","New York","ROCHESTER","Regular local school district","4207"
"2014","3611910","GENERAL BROWN CENTRAL SCHOOL DISTRICT","New York","DEXTER","Regular local school district","1564"
"2014","3611940","GENESEO CENTRAL SCHOOL DISTRICT","New York","GENESEO","Regular local school district","885"
"2014","3611970","GENEVA CITY SCHOOL DISTRICT","New York","GENEVA","Regular local school district","2243"
"2014","3612030","GERMANTOWN CENTRAL SCHOOL DISTRICT","New York","GERMANTOWN","Regular local school district","589"
