,created_at,tweet_id,text,user_id,user_name
92,Fri Jun 07 14:45:29 +0000 2019,1137007675382927362,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",994281163530424320,"Lou's EF Kuscheltier 🤗♥️/* [CSD-Stuttgart,EWF19]⚡"
93,Fri Jun 07 14:45:03 +0000 2019,1137007568814059520,is the wc match going to be on fox? #WWC2019,708475084,Sam
94,Fri Jun 07 14:45:00 +0000 2019,1137007554771349505,"La #WWC2019 débute aujourd'hui avec #FRAKOR !
Pour l'occasion, je ressors des archives mon article dédié à cette co… https://t.co/Wb6HSCBtsY",1001738990653931520,Foot d'infographies
95,Fri Jun 07 14:44:47 +0000 2019,1137007500337790977,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1124410642918719489,Cloudz64325
96,Fri Jun 07 14:44:22 +0000 2019,1137007397615087618,"Alors que ce #RG19 s'approche doucement de son terme, la Coupe du Monde Féminine va commencer ce soir. 🎾 ⚽🏆🇫🇷
L'enc… https://t.co/kAv3WDGMqm",2525435718,NikoO' ⭐6⃣🏆
97,Fri Jun 07 14:44:10 +0000 2019,1137007345249148928,"World Cup begins today! 🏆 
4️⃣ days until our first game 🇳🇱
Can't wait! 🔶️🦁

#oranjeleeuwinnen #onzejacht… https://t.co/WUbaROteE7",108661043,Inessa Kaagman
98,Fri Jun 07 14:43:54 +0000 2019,1137007278874386433,"#WWC2019 kicks off today. As we will be in #Glasgow for #BAUS19 when it's on, we're rooting for @ScotlandNT #swnt A… https://t.co/XlJbXXCE9v",767631867424206848,Synergo® Technology
99,Fri Jun 07 14:46:59 +0000 2019,1137008055814692865,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1000424952267444236,KnuffigerCarsto (TL Scrub) 🏳‍🌈
100,Fri Jun 07 14:46:55 +0000 2019,1137008037133205505,#WWC2019 starts today. Come on Canada! Bring it home! #CANWNT https://t.co/JTtN3PxBtd,362727949,Cody Fullerton
101,Fri Jun 07 14:46:46 +0000 2019,1137008002278576128,"RT @mercatomilan17: Oggi cominciano i Mondiali femminili di #Francia2019 🇫🇷.

Saranno 7 le Rossonere impegnate:

Laura #Fusetti 🇮🇹
Linda #T…",889160369868025856,Alessio Lombardi
